SESSION; TIME;RPM;THROT;LAMB;R U SP;TAR LB;OIL P;SLIP%;INJ;L/Hr;L/100K;

9 ;0:00.10 ;570 ;0 ;12.480 ;0.0 ;14.700 ;43.5 ;0 ;3.04 ;0.6;0.0;
9 ;0:00.20 ;570 ;0 ;12.510 ;0.0 ;14.700 ;43.5 ;0 ;3.04 ;0.6;0.0;
9 ;0:00.30 ;570 ;0 ;12.642 ;0.0 ;14.700 ;43.5 ;0 ;3.04 ;0.6;0.0;
9 ;0:00.40 ;570 ;0 ;12.965 ;0.0 ;14.700 ;43.5 ;0 ;3.04 ;0.6;0.0;
9 ;0:00.50 ;636 ;0 ;12.995 ;0.0 ;14.700 ;43.5 ;0 ;3.13 ;0.7;0.0;
9 ;0:00.60 ;832 ;0 ;12.877 ;0.0 ;14.700 ;43.5 ;0 ;3.40 ;0.8;0.0;
9 ;0:00.70 ;950 ;1 ;12.627 ;0.0 ;14.700 ;43.5 ;0 ;3.42 ;1.1;0.0;
9 ;0:00.80 ;1233 ;1 ;12.539 ;0.0 ;14.700 ;43.5 ;0 ;3.26 ;1.4;0.0;
9 ;0:00.90 ;1247 ;1 ;12.480 ;0.0 ;14.700 ;43.5 ;0 ;3.24 ;1.6;0.0;
9 ;0:01.00 ;1749 ;1 ;12.319 ;0.0 ;14.700 ;43.5 ;0 ;2.76 ;1.7;0.0;
9 ;0:01.10 ;2032 ;1 ;12.098 ;0.0 ;14.700 ;43.5 ;0 ;2.50 ;1.9;0.0;
9 ;0:01.20 ;2341 ;1 ;11.584 ;0.0 ;14.700 ;43.5 ;0 ;2.36 ;2.0;0.0;
9 ;0:01.30 ;2540 ;1 ;11.804 ;0.0 ;14.700 ;43.5 ;0 ;2.26 ;2.1;0.0;
9 ;0:01.40 ;2740 ;1 ;12.333 ;0.0 ;14.700 ;43.5 ;0 ;2.17 ;2.1;0.0;
9 ;0:01.50 ;2801 ;1 ;13.539 ;0.0 ;14.700 ;43.5 ;0 ;2.14 ;2.2;0.0;
9 ;0:01.60 ;2941 ;1 ;13.157 ;0.0 ;14.700 ;43.5 ;0 ;2.08 ;2.2;0.0;
9 ;0:01.70 ;3095 ;0 ;13.171 ;0.0 ;14.700 ;43.5 ;0 ;2.15 ;2.4;0.0;
9 ;0:01.80 ;3306 ;0 ;13.730 ;0.0 ;14.700 ;43.5 ;0 ;2.17 ;2.7;0.0;
9 ;0:01.90 ;3844 ;0 ;13.921 ;0.0 ;14.700 ;43.5 ;0 ;2.21 ;3.3;0.0;
9 ;0:02.00 ;4714 ;0 ;14.391 ;0.0 ;14.700 ;43.5 ;0 ;2.34 ;4.2;0.0;
9 ;0:02.10 ;5763 ;0 ;14.582 ;0.0 ;14.700 ;43.5 ;0 ;2.40 ;5.4;0.0;
9 ;0:02.20 ;7838 ;0 ;13.083 ;0.0 ;14.700 ;43.5 ;0 ;2.51 ;7.5;0.0;
9 ;0:02.30 ;8252 ;1 ;11.642 ;0.0 ;14.700 ;43.5 ;0 ;2.48 ;8.9;0.0;
9 ;0:02.40 ;9460 ;20 ;14.068 ;0.0 ;14.700 ;43.5 ;0 ;4.31 ;11.8;0.0;
9 ;0:02.50 ;9527 ;37 ;13.451 ;0.0 ;14.700 ;43.5 ;0 ;3.46 ;11.3;0.0;
9 ;0:02.60 ;8941 ;38 ;12.745 ;0.0 ;14.700 ;43.5 ;0 ;2.88 ;11.6;0.0;
9 ;0:02.70 ;8712 ;41 ;12.789 ;0.0 ;14.700 ;43.5 ;0 ;4.12 ;12.7;0.0;
9 ;0:02.80 ;8095 ;42 ;12.333 ;0.0 ;14.700 ;43.5 ;0 ;3.86 ;11.5;0.0;
9 ;0:02.90 ;7298 ;37 ;12.172 ;0.0 ;14.700 ;43.5 ;0 ;4.30 ;12.1;0.0;
9 ;0:03.00 ;7512 ;39 ;12.436 ;0.0 ;14.700 ;43.5 ;0 ;4.58 ;12.5;0.0;
9 ;0:03.10 ;7609 ;39 ;12.216 ;0.0 ;14.700 ;43.5 ;0 ;4.41 ;12.0;0.0;
9 ;0:03.20 ;7628 ;38 ;12.657 ;0.0 ;14.700 ;43.5 ;0 ;4.45 ;12.7;0.0;
9 ;0:03.30 ;7384 ;38 ;13.994 ;0.0 ;14.700 ;43.5 ;0 ;4.53 ;12.1;0.0;
9 ;0:03.40 ;7275 ;41 ;14.524 ;0.0 ;14.700 ;43.5 ;0 ;4.50 ;12.0;0.0;
9 ;0:03.50 ;7901 ;44 ;12.863 ;0.0 ;14.700 ;43.5 ;0 ;3.64 ;12.4;0.0;
9 ;0:03.60 ;8488 ;43 ;14.582 ;0.0 ;14.700 ;43.5 ;0 ;5.12 ;15.5;0.0;
9 ;0:03.70 ;8844 ;43 ;12.598 ;0.0 ;14.700 ;43.5 ;0 ;3.83 ;11.3;0.0;
9 ;0:03.80 ;8712 ;37 ;13.127 ;0.0 ;14.700 ;43.5 ;0 ;3.68 ;10.7;0.0;
9 ;0:03.90 ;8652 ;26 ;13.642 ;0.0 ;14.700 ;43.5 ;0 ;2.98 ;11.1;0.0;
9 ;0:04.00 ;8198 ;42 ;12.951 ;0.0 ;14.700 ;43.5 ;0 ;4.15 ;7.8;0.0;
9 ;0:04.10 ;7548 ;37 ;12.451 ;0.0 ;14.700 ;43.5 ;0 ;4.52 ;12.8;0.0;
9 ;0:04.20 ;7802 ;37 ;12.069 ;0.0 ;14.700 ;43.5 ;0 ;4.02 ;12.7;0.0;
9 ;0:04.30 ;7253 ;24 ;12.877 ;0.0 ;14.700 ;43.5 ;0 ;2.81 ;7.4;0.0;
9 ;0:04.40 ;7006 ;26 ;13.583 ;0.0 ;14.700 ;43.5 ;0 ;2.08 ;11.0;0.0;
9 ;0:04.50 ;8624 ;43 ;14.347 ;0.0 ;14.700 ;43.5 ;0 ;4.68 ;16.1;0.0;
9 ;0:04.60 ;7312 ;43 ;14.818 ;0.0 ;14.700 ;43.5 ;0 ;4.51 ;11.5;0.0;
9 ;0:04.70 ;5969 ;33 ;14.965 ;0.0 ;14.700 ;43.5 ;0 ;3.79 ;7.1;0.0;
9 ;0:04.80 ;5709 ;19 ;15.494 ;0.0 ;14.700 ;43.5 ;0 ;2.65 ;5.7;0.0;
9 ;0:04.90 ;5565 ;16 ;14.377 ;0.0 ;14.700 ;43.5 ;0 ;2.35 ;3.2;0.0;
9 ;0:05.00 ;5735 ;10 ;12.760 ;0.0 ;14.700 ;43.5 ;0 ;1.66 ;3.5;0.0;
9 ;0:05.10 ;5806 ;9 ;11.437 ;0.0 ;14.700 ;43.5 ;0 ;1.76 ;3.7;0.0;
9 ;0:05.20 ;6032 ;10 ;13.304 ;0.0 ;14.700 ;43.5 ;0 ;1.51 ;3.3;0.0;
9 ;0:05.30 ;6202 ;11 ;13.730 ;0.0 ;14.700 ;43.5 ;0 ;1.30 ;2.9;0.0;
9 ;0:05.40 ;6967 ;7 ;13.730 ;0.0 ;14.700 ;43.5 ;0 ;2.39 ;7.4;0.0;
9 ;0:05.50 ;8205 ;3 ;13.803 ;0.0 ;14.700 ;43.5 ;0 ;2.71 ;10.4;0.0;
9 ;0:05.60 ;9464 ;0 ;15.420 ;0.0 ;14.700 ;43.5 ;0 ;2.31 ;9.0;0.0;
9 ;0:05.70 ;11134 ;48 ;17.934 ;0.0 ;14.700 ;43.5 ;0 ;2.92 ;25.1;0.0;
9 ;0:05.80 ;11867 ;74 ;15.553 ;0.0 ;14.700 ;43.5 ;0 ;6.24 ;29.4;0.0;
9 ;0:05.90 ;11996 ;70 ;14.921 ;0.0 ;14.700 ;43.5 ;0 ;5.73 ;24.1;0.0;
9 ;0:06.00 ;11792 ;69 ;17.772 ;0.0 ;14.700 ;43.5 ;0 ;5.44 ;23.6;0.0;
9 ;0:06.10 ;11996 ;69 ;17.170 ;0.0 ;14.700 ;43.5 ;0 ;5.53 ;23.2;0.0;
9 ;0:06.20 ;11912 ;63 ;16.655 ;0.0 ;14.700 ;43.5 ;0 ;5.54 ;25.4;0.0;
9 ;0:06.30 ;11919 ;61 ;13.465 ;0.0 ;14.700 ;43.5 ;0 ;5.91 ;27.1;0.0;
9 ;0:06.40 ;11927 ;60 ;14.906 ;0.0 ;14.700 ;43.5 ;0 ;6.09 ;25.8;0.0;
9 ;0:06.50 ;11822 ;60 ;14.597 ;0.0 ;14.700 ;43.5 ;0 ;6.01 ;28.3;0.0;
9 ;0:06.60 ;12042 ;58 ;13.936 ;0.0 ;14.700 ;43.5 ;0 ;6.56 ;28.0;0.0;
9 ;0:06.70 ;11927 ;61 ;17.464 ;0.0 ;14.700 ;43.5 ;0 ;5.91 ;25.7;0.0;
9 ;0:06.80 ;11957 ;60 ;16.346 ;0.0 ;14.700 ;43.5 ;0 ;6.11 ;27.8;0.0;
9 ;0:06.90 ;11996 ;60 ;12.995 ;0.0 ;14.700 ;43.5 ;0 ;6.15 ;27.5;0.0;
9 ;0:07.00 ;11660 ;60 ;15.685 ;0.0 ;14.700 ;43.5 ;0 ;5.88 ;24.6;0.0;
9 ;0:07.10 ;11874 ;61 ;14.921 ;0.0 ;14.700 ;43.5 ;0 ;5.88 ;26.3;0.0;
9 ;0:07.20 ;11942 ;55 ;13.906 ;0.0 ;14.700 ;43.5 ;0 ;6.07 ;26.0;0.0;
9 ;0:07.30 ;11667 ;53 ;16.170 ;0.0 ;14.700 ;43.5 ;0 ;5.17 ;18.9;0.0;
9 ;0:07.40 ;11254 ;49 ;16.964 ;0.0 ;14.700 ;43.5 ;0 ;3.37 ;15.8;0.0;
9 ;0:07.50 ;11281 ;49 ;15.847 ;0.0 ;14.700 ;43.5 ;0 ;3.41 ;11.8;0.0;
9 ;0:07.60 ;10990 ;41 ;15.920 ;0.0 ;14.700 ;43.5 ;0 ;2.86 ;11.3;0.0;
9 ;0:07.70 ;10926 ;44 ;14.524 ;0.0 ;14.700 ;43.5 ;0 ;2.77 ;10.7;0.0;
9 ;0:07.80 ;10341 ;44 ;14.935 ;0.0 ;14.700 ;43.5 ;0 ;3.70 ;14.1;0.0;
9 ;0:07.90 ;10010 ;43 ;15.803 ;0.0 ;14.700 ;43.5 ;0 ;3.59 ;14.0;0.0;
9 ;0:08.00 ;10521 ;45 ;15.582 ;0.0 ;14.700 ;43.5 ;0 ;3.62 ;12.3;0.0;
9 ;0:08.10 ;10977 ;46 ;13.936 ;0.0 ;14.700 ;43.5 ;0 ;2.57 ;12.9;0.0;
9 ;0:08.20 ;10504 ;44 ;14.186 ;0.0 ;14.700 ;43.5 ;0 ;3.67 ;14.1;0.0;
9 ;0:08.30 ;10732 ;44 ;14.597 ;0.0 ;14.700 ;43.5 ;0 ;3.18 ;13.1;0.0;
9 ;0:08.40 ;10635 ;49 ;14.671 ;0.0 ;14.700 ;43.5 ;0 ;3.73 ;15.8;0.0;
